award_show_name,award_name,show_title,season_num
Golden Horizon Ceremony,Best Visual Effects,Future Galaxy,1
Granite Star Awards,Best Actress,Future Galaxy,1
Spectrum Talent Awards,Best Costume Design,Past Crimson Hidden,1
Harborlight Entertainment Awards,Best Show,Past Crimson Hidden,1
Aether Artistry Gala,Best Actress,Past Crimson Hidden,2
Eclipse Talent Fest,Best Visual Effects,Past Crimson Hidden,2
Golden Horizon Ceremony,Best Costume Design,Past Crimson Hidden,2
Lunar Crest Celebration,Lifetime Achievement,Past Crimson Hidden,2
Mythos Media Awards,Best Show,Hidden Future,3
Visionary Arts Summit,Best Costume Design,Hidden Future,3
Crimson Crown Gala,Best Costume Design,Hidden Future,3
Aurora Arts Awards,Best Show,Hidden Future,3
Radiant Reel Awards,Best Show,Hidden Future,4
Nebula Night Showcase,Best Visual Effects,Voyager Horizon Whispers,4
Ironquill Arts Night,Best Soundtrack,Voyager Horizon Whispers,4
Solar Flare Showcase,Best Visual Effects,Future Crimson,1
Obsidian Screen Gala,Best Show,Future Crimson,1
Silver Peak Honors,Best Show,Future Crimson,2
Radiant Reel Awards,Best Director,Future Crimson,3
Whisperwind Entertainment Fest,Best Actor,River Future Eclipse,1
Obsidian Screen Gala,Lifetime Achievement,River Future Eclipse,1
Whisperwind Entertainment Fest,Best Visual Effects,River Future Eclipse,1
Starlight Entertainment Gala,Best Actress,River Future Eclipse,1
Timberline Arts Awards,Lifetime Achievement,Golden Fury Dreams,1
Emberlight Arts Showcase,Best Soundtrack,Hidden Nightfall Broken,1
Harborlight Entertainment Awards,Best Cinematography,Wild Eternal,1
Golden Horizon Ceremony,Best Actor,Silent Phantom,1
Eclipse Talent Fest,Best Show,Silent Phantom,1
Mythos Media Awards,Best Soundtrack,Silent Phantom,1
Obsidian Screen Gala,Best Soundtrack,Silent Phantom,1
Nova Prime Showcase,Best Cinematography,Wild Rising River,1
Silver Peak Honors,Lifetime Achievement,Wild Rising River,3
Eclipse Talent Fest,Best Visual Effects,Wild Rising River,3
Mythos Media Awards,Best Costume Design,Past Storm,3
Echo Stage Ceremony,Best Screenplay,Past Horizon Storm,1
Timberline Arts Awards,Best Actor,Past Horizon Storm,1
Eclipse Talent Fest,Best Costume Design,Past Horizon Storm,1
Visionary Arts Summit,Best Cinematography,Midnight Kingdom Eclipse,1
Silver Peak Honors,Best Show,Midnight Kingdom Eclipse,1
Silver Peak Honors,Best Soundtrack,Midnight Kingdom Eclipse,1
Aether Artistry Gala,Best Costume Design,Midnight Kingdom Eclipse,1
Rivermoon Arts Gala,Best Screenplay,Midnight Crimson River,1
Crimson Crown Gala,Best Soundtrack,Midnight Crimson River,1
Obsidian Screen Gala,Best Screenplay,Midnight Crimson River,1
Infinite Frame Awards,Best Show,Midnight Crimson River,1
Obsidian Screen Gala,Best Visual Effects,Storm Future Kingdom,2
Whisperwind Entertainment Fest,Best Screenplay,Storm Future Kingdom,2
Spectrum Talent Awards,Best Screenplay,Eclipse Whispers,1
Radiant Reel Awards,Lifetime Achievement,Eclipse Whispers,1
Golden Horizon Ceremony,Best Cinematography,Eclipse Whispers,1
Ironquill Arts Night,Best Visual Effects,Eclipse Whispers,1
Timberline Arts Awards,Best Costume Design,Golden Neon,1
Visionary Arts Summit,Lifetime Achievement,Golden Neon,1
Aurora Arts Awards,Best Actor,Golden Neon,1
Cindercrest Honors,Best Soundtrack,Golden Neon,4
Celestial Screen Festival,Best Screenplay,Golden Neon,4
Mariner Media Awards,Best Screenplay,Golden Neon,4
Obsidian Screen Gala,Best Soundtrack,Golden Neon,4
Aether Artistry Gala,Best Actress,Storm Sky,1
Granite Star Awards,Best Actress,Storm Sky,1
Solar Flare Showcase,Best Visual Effects,Storm Sky,1
Rivermoon Arts Gala,Best Show,Storm Sky,3
Whisperwind Entertainment Fest,Best Visual Effects,Storm Sky,3
Starlight Entertainment Gala,Best Screenplay,Storm Sky,3
Celestial Screen Festival,Best Cinematography,Broken Hidden Neon,1
Harborlight Entertainment Awards,Best Visual Effects,Broken Hidden Neon,1
Solar Flare Showcase,Best Visual Effects,Broken Hidden Neon,1
Whisperwind Entertainment Fest,Best Soundtrack,Golden Eternal,1
Spectrum Talent Awards,Best Show,Golden Eternal,1
Starlight Entertainment Gala,Best Director,Storm Legends Hidden,1
Celestial Screen Festival,Best Actor,Storm Legends Hidden,1
Aurora Arts Awards,Best Screenplay,Storm Legends Hidden,1
Echo Stage Ceremony,Lifetime Achievement,Storm Legends Hidden,1
Eclipse Talent Fest,Best Cinematography,Dreams Hidden,1
Harborlight Entertainment Awards,Best Actress,Dreams Hidden,1
Aurora Arts Awards,Lifetime Achievement,Dreams Hidden,1
Granite Star Awards,Best Costume Design,Dreams Hidden,1
Infinite Frame Awards,Best Costume Design,Rising Hidden Neon,2
Radiant Reel Awards,Best Costume Design,Golden Star Past,1
Timberline Arts Awards,Best Visual Effects,Golden Star Past,1
Celestial Screen Festival,Lifetime Achievement,Golden Star Past,1
Harborlight Entertainment Awards,Best Director,Fury Eternal,2
Timberline Arts Awards,Best Actress,Ancient Hidden,1
Starlight Entertainment Gala,Best Screenplay,Ancient Hidden,1
Cindercrest Honors,Lifetime Achievement,Ancient Hidden,1
Mariner Media Awards,Lifetime Achievement,Broken Secret,2
Solar Flare Showcase,Best Cinematography,Broken Secret,2
Nova Prime Showcase,Best Show,Secret Eclipse,4
Infinite Frame Awards,Lifetime Achievement,Secret Eclipse,4
Golden Horizon Ceremony,Best Screenplay,Secret Eclipse,4
Cindercrest Honors,Best Soundtrack,Secret Eclipse,4
Solar Flare Showcase,Best Costume Design,Ancient Magic Voyager,2
Cindercrest Honors,Best Actress,Ancient Magic Voyager,2
Mariner Media Awards,Best Screenplay,Ancient Magic Voyager,2
Golden Horizon Ceremony,Best Costume Design,Ancient Magic Voyager,3
Mythos Media Awards,Best Costume Design,Ancient Magic Voyager,3
Harborlight Entertainment Awards,Best Show,Ancient Magic Voyager,3
Frostfall Entertainment Ceremony,Best Screenplay,Crystal Rising,2
Obsidian Screen Gala,Best Actor,Crystal Rising,2
Cindercrest Honors,Best Actor,Crystal Rising,2
Emberlight Arts Showcase,Best Show,Crystal Rising,2
Timberline Arts Awards,Best Screenplay,Broken Silver,2
Nebula Night Showcase,Best Actress,Broken Silver,2
Nebula Night Showcase,Best Show,Broken Silver,2
Emberlight Arts Showcase,Lifetime Achievement,Horizon Eclipse Crystal,1
Whisperwind Entertainment Fest,Best Screenplay,Horizon Eclipse Crystal,1
Mariner Media Awards,Best Costume Design,Horizon Eclipse Crystal,2
Eclipse Talent Fest,Best Director,Horizon Eclipse Crystal,2
Whisperwind Entertainment Fest,Best Director,Future Rising,2
Granite Star Awards,Best Screenplay,Horizon Dreams,2
Harborlight Entertainment Awards,Lifetime Achievement,Whispers Sky Star,1
Whisperwind Entertainment Fest,Best Visual Effects,Whispers Sky Star,1
Echo Stage Ceremony,Best Director,Whispers Sky Star,1
Frostfall Entertainment Ceremony,Lifetime Achievement,Whispers Sky Star,2
Nebula Night Showcase,Best Screenplay,Hidden Dreams Silver,3
Emberlight Arts Showcase,Lifetime Achievement,Hidden Dreams Silver,3
Visionary Arts Summit,Best Actor,Hidden Dreams Silver,3
Rivermoon Arts Gala,Best Screenplay,Magic Fury Broken,3
Emberlight Arts Showcase,Best Soundtrack,Magic Fury Broken,3
Cindercrest Honors,Best Actor,Magic Fury Broken,3
Bluefire Cinema Honors,Best Show,Kingdom Nightfall Neon,2
Radiant Reel Awards,Best Costume Design,Kingdom Nightfall Neon,2
Bluefire Cinema Honors,Best Soundtrack,Crimson Legends,3
Ironquill Arts Night,Lifetime Achievement,Crimson Legends,3
Infinite Frame Awards,Best Director,Crimson Legends,3
Harborlight Entertainment Awards,Best Screenplay,Star Future,1
Bluefire Cinema Honors,Best Show,Star Future,1
Emberlight Arts Showcase,Best Screenplay,Star Future,3
Golden Horizon Ceremony,Best Soundtrack,Magic Phantom,1
Silver Peak Honors,Best Director,Magic Phantom,1
Whisperwind Entertainment Fest,Best Costume Design,Shadow Magic Galaxy,2
Obsidian Screen Gala,Best Show,Shadow Magic Galaxy,2
Golden Horizon Ceremony,Best Cinematography,Shadow Magic Galaxy,2
Silver Peak Honors,Best Visual Effects,Shadow Magic Galaxy,3
Eclipse Talent Fest,Best Actress,Shadow Magic Galaxy,3
Golden Horizon Ceremony,Best Screenplay,Shadow Magic Galaxy,3
Timberline Arts Awards,Best Soundtrack,Echo Midnight,2
Emberlight Arts Showcase,Best Actor,Echo Midnight,3
Harborlight Entertainment Awards,Best Screenplay,Echo Midnight,3
Visionary Arts Summit,Lifetime Achievement,Eclipse Phantom,1
Ironquill Arts Night,Best Cinematography,Eclipse Phantom,1
Whisperwind Entertainment Fest,Best Director,Eclipse Phantom,1
Radiant Reel Awards,Best Director,Eclipse Phantom,2
Eclipse Talent Fest,Best Show,Eclipse Phantom,2
Frostfall Entertainment Ceremony,Best Costume Design,Golden Kingdom,2
Silver Peak Honors,Best Actor,Golden Kingdom,2
Harborlight Entertainment Awards,Best Actress,Rising Fury Neon,1
Solar Flare Showcase,Best Actor,Rising Fury Neon,1
Lunar Crest Celebration,Best Soundtrack,Fading Sky Broken,2
Harborlight Entertainment Awards,Best Cinematography,Fading Sky Broken,2
Eclipse Talent Fest,Best Actor,Fading Sky Broken,2
Cindercrest Honors,Best Screenplay,Fading Sky Broken,2
Harborlight Entertainment Awards,Best Soundtrack,Golden Voyager,2
Spectrum Talent Awards,Best Director,Golden Voyager,2
Visionary Arts Summit,Best Actor,Echo Horizon Wild,4
Frostfall Entertainment Ceremony,Best Show,Echo Horizon Wild,4
Obsidian Screen Gala,Best Screenplay,Echo Horizon Wild,4
Radiant Reel Awards,Lifetime Achievement,Hidden Magic,1
Visionary Arts Summit,Best Show,Hidden Magic,1
Whisperwind Entertainment Fest,Best Screenplay,Hidden Magic,1
Solar Flare Showcase,Best Screenplay,Hidden Magic,1
Mythos Media Awards,Lifetime Achievement,Midnight Eternal Hidden,1
Bluefire Cinema Honors,Best Show,Midnight Eternal Hidden,1
Golden Horizon Ceremony,Best Visual Effects,Sky Magic Wild,3
Harborlight Entertainment Awards,Best Actress,Sky Magic Wild,3
Starlight Entertainment Gala,Best Costume Design,Sky Magic Wild,3
Silver Peak Honors,Lifetime Achievement,Wild Dreams Golden,2
Obsidian Screen Gala,Best Screenplay,Wild Dreams Golden,2
Spectrum Talent Awards,Best Actor,Wild Dreams Golden,2
Eclipse Talent Fest,Lifetime Achievement,Wild Dreams Golden,2
Infinite Frame Awards,Best Visual Effects,Legends Wild Phantom,2
Echo Stage Ceremony,Best Cinematography,Legends Wild Phantom,2
Aurora Arts Awards,Best Director,Voyager Legends Eclipse,1
Granite Star Awards,Lifetime Achievement,Voyager Legends Eclipse,1
Whisperwind Entertainment Fest,Best Actress,Silver Ancient,1
Golden Horizon Ceremony,Best Actress,Silver Ancient,1
Nova Prime Showcase,Best Actor,Silver Ancient,1
Silver Peak Honors,Best Screenplay,Silver Ancient,1
Eclipse Talent Fest,Best Actress,Kingdom Star,1
Echo Stage Ceremony,Best Costume Design,Whispers Hidden,1
Timberline Arts Awards,Best Cinematography,Whispers Hidden,4
Granite Star Awards,Best Soundtrack,Whispers Hidden,4
Silver Peak Honors,Best Actress,Whispers Hidden,4
Starlight Entertainment Gala,Best Director,Whispers Golden,3
Ironquill Arts Night,Best Show,Whispers Golden,3
Rivermoon Arts Gala,Best Soundtrack,Magic Crimson,2
Mythos Media Awards,Best Costume Design,Magic Crimson,2
Eclipse Talent Fest,Best Screenplay,Magic Crimson,2
Whisperwind Entertainment Fest,Best Costume Design,Wild Sky,2
Nova Prime Showcase,Best Cinematography,Wild Sky,2
Obsidian Screen Gala,Best Soundtrack,Wild Sky,2
Nova Prime Showcase,Lifetime Achievement,Wild Sky,2
Obsidian Screen Gala,Best Cinematography,Eclipse Dreams Kingdom,1
Echo Stage Ceremony,Lifetime Achievement,Eclipse Dreams Kingdom,1
Whisperwind Entertainment Fest,Best Director,Horizon Golden,3
Crimson Crown Gala,Best Actress,Horizon Golden,3
Emberlight Arts Showcase,Lifetime Achievement,Secret Magic Midnight,1
Infinite Frame Awards,Best Costume Design,Secret Magic Midnight,1
Timberline Arts Awards,Best Cinematography,Secret Magic Midnight,2
Mythos Media Awards,Best Cinematography,Silver Silent,4
Spectrum Talent Awards,Lifetime Achievement,Silver Silent,4
Silver Peak Honors,Lifetime Achievement,Silver Silent,4
Mariner Media Awards,Lifetime Achievement,Silver Silent,4
Nova Prime Showcase,Best Actor,Magic Star Storm,1
Harborlight Entertainment Awards,Best Director,Magic Star Storm,1
Starlight Entertainment Gala,Best Director,Magic Star Storm,1
Aurora Arts Awards,Best Soundtrack,Magic Star Storm,1
Nova Prime Showcase,Best Show,Fury Past River,2
Aether Artistry Gala,Best Show,Fury Past River,2
Obsidian Screen Gala,Best Soundtrack,Fury Past River,2
Lunar Crest Celebration,Best Actor,Hidden Broken Fading,3
Spectrum Talent Awards,Lifetime Achievement,Future Storm,1
Echo Stage Ceremony,Best Show,Future Storm,1
Rivermoon Arts Gala,Best Screenplay,Future Storm,1
Mythos Media Awards,Best Visual Effects,Midnight Echo Future,1
Lunar Crest Celebration,Lifetime Achievement,Midnight Echo Future,1
Visionary Arts Summit,Best Costume Design,Midnight Echo Future,1
Frostfall Entertainment Ceremony,Lifetime Achievement,Midnight Echo Future,1
Visionary Arts Summit,Best Show,Crimson Neon,2
Aether Artistry Gala,Lifetime Achievement,Crimson Neon,2
Golden Horizon Ceremony,Lifetime Achievement,Crimson Neon,2
Granite Star Awards,Best Cinematography,Crimson Neon,2
Cindercrest Honors,Best Soundtrack,Phantom Horizon,3
Harborlight Entertainment Awards,Best Show,Phantom Horizon,3
Mythos Media Awards,Best Visual Effects,Phantom Horizon,3
Nova Prime Showcase,Best Visual Effects,Phantom Horizon,3
Nova Prime Showcase,Best Cinematography,Fading Nightfall Sky,2
Frostfall Entertainment Ceremony,Lifetime Achievement,Fading Nightfall Sky,2
Radiant Reel Awards,Best Visual Effects,Fading Nightfall Sky,2
Rivermoon Arts Gala,Best Visual Effects,Horizon Ancient Voyager,2
Cindercrest Honors,Best Soundtrack,Horizon Ancient Voyager,2
Starlight Entertainment Gala,Lifetime Achievement,Horizon Ancient Voyager,2
Frostfall Entertainment Ceremony,Best Actor,Star Fury Kingdom,2
Granite Star Awards,Best Screenplay,Star Fury Kingdom,2
Solar Flare Showcase,Lifetime Achievement,Star Fury Kingdom,4
Aurora Arts Awards,Best Show,Star Fury Kingdom,4
Frostfall Entertainment Ceremony,Best Soundtrack,Star Fury Kingdom,4
Granite Star Awards,Lifetime Achievement,Star Fury Kingdom,4
Lunar Crest Celebration,Best Actor,River Ancient Midnight,2
Solar Flare Showcase,Best Visual Effects,River Ancient Midnight,2
Spectrum Talent Awards,Best Soundtrack,River Ancient Midnight,2
Crimson Crown Gala,Best Director,Secret Hidden,1
Crimson Crown Gala,Best Actor,Hidden Silver Whispers,3
Bluefire Cinema Honors,Best Visual Effects,Hidden Silver Whispers,3
Visionary Arts Summit,Best Cinematography,Hidden Silver Whispers,3
Radiant Reel Awards,Best Show,Past Midnight,1
Ironquill Arts Night,Best Cinematography,Golden Fading Fury,3
Starlight Entertainment Gala,Best Screenplay,Golden Fading Fury,3
Nova Prime Showcase,Best Costume Design,Fury Ancient Crystal,2
Granite Star Awards,Best Show,Fury Ancient Crystal,2
Ironquill Arts Night,Best Show,Horizon Crimson,3
Ironquill Arts Night,Best Actor,Horizon Crimson,3
Emberlight Arts Showcase,Best Cinematography,Horizon Crimson,3
Golden Horizon Ceremony,Best Screenplay,River Past,1
Eclipse Talent Fest,Best Cinematography,River Past,1
Ironquill Arts Night,Best Visual Effects,River Past,1
Celestial Screen Festival,Best Show,River Past,1
Mariner Media Awards,Best Visual Effects,Secret Phantom,2
Rivermoon Arts Gala,Best Visual Effects,Fading Galaxy,2
Nova Prime Showcase,Best Director,Fading Galaxy,2
Nova Prime Showcase,Lifetime Achievement,Fading Galaxy,2
Echo Stage Ceremony,Best Actor,Fading Galaxy,2
Mythos Media Awards,Lifetime Achievement,Fading Galaxy,3
Spectrum Talent Awards,Best Soundtrack,Fading Galaxy,3
Eclipse Talent Fest,Best Cinematography,Fading Galaxy,3
Timberline Arts Awards,Best Show,Legends Past Neon,2
Infinite Frame Awards,Best Visual Effects,Legends Past Neon,2
Celestial Screen Festival,Best Soundtrack,Legends Past Neon,2
Visionary Arts Summit,Best Director,Horizon Storm Golden,3
Obsidian Screen Gala,Best Costume Design,Horizon Storm Golden,3
Echo Stage Ceremony,Best Screenplay,Eclipse Voyager Kingdom,3
Solar Flare Showcase,Best Screenplay,Eclipse Voyager Kingdom,3
Bluefire Cinema Honors,Best Visual Effects,Storm Legends Future,1
Spectrum Talent Awards,Best Soundtrack,Storm Legends Future,1
Aurora Arts Awards,Best Visual Effects,Storm Legends Future,3
Golden Horizon Ceremony,Best Soundtrack,Dreams Shadow Secret,2
Ironquill Arts Night,Best Soundtrack,Dreams Shadow Secret,3
Whisperwind Entertainment Fest,Best Director,Dreams Shadow Secret,3
Eclipse Talent Fest,Lifetime Achievement,Dreams Shadow Secret,3
Obsidian Screen Gala,Best Show,Dreams Shadow Secret,3
Whisperwind Entertainment Fest,Best Visual Effects,Eternal Future Rising,2
Lunar Crest Celebration,Best Show,Eternal Future Rising,2
Nebula Night Showcase,Best Show,Eternal Future Rising,3
Spectrum Talent Awards,Best Visual Effects,Eternal Future Rising,3
